物件名,住所,築年数,築年数2,築年数_値,家賃,間取り,面積,家賃/平米,アクセス2,minute2,アクセス3,minute3,アクセス4,minute4,アクセス5,minute5,アクセス6,minute6,アクセス7,minute7,アクセス8,minute8,アクセス9,minute9,min_minute,築年数フラグ,家賃フラグ,アクセスフラグ,ターゲットフラグ,駅名,サブターゲットフラグ,詳細リンク,仲介業者
都営大江戸線 蔵前駅 9階建 築8年,東京都墨田区本所１,"築8年
9階建","築8年
9階建",8,14.1,1LDK,40.56,0.3476331360946745,都営大江戸線/蔵前駅 歩7分,7.0,都営浅草線/浅草駅 歩9分,9.0,東京メトロ銀座線/田原町駅 歩15分,15.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,蔵前,0,,
第2エステートイケダ,東京都荒川区荒川５,"築30年
3階建","築30年
3階建",30,5.6,1K,20.25,0.2765432098765432,東京メトロ千代田線/町屋駅 歩5分,5.0,ＪＲ常磐線/三河島駅 歩10分,10.0,京成本線/新三河島駅 歩6分,6.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,町屋,1,,
京成本線 青砥駅 3階建 築45年,東京都葛飾区立石６,"築45年
3階建","築45年
3階建",45,7.1,2K,29.0,0.2448275862068965,京成本線/青砥駅 歩4分,4.0,京成押上線/青砥駅 歩4分,4.0,成田スカイアクセス/青砥駅 歩4分,4.0,,0,,0,,0,,0,,0,4.0,1,1,0,0,青砥,1,,
エルスタンザ浅草,東京都台東区浅草６,"築6年
9階建","築6年
9階建",6,15.3,1LDK,40.26,0.3800298062593145,都営浅草線/浅草駅 歩8分,8.0,東武伊勢崎線/浅草駅 歩8分,8.0,つくばエクスプレス/浅草駅 歩11分,11.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,浅草,0,,
つくばエクスプレス 浅草駅 3階建 築3年,東京都台東区浅草５,"築3年
3階建","築3年
3階建",3,11.5,1LDK,30.63,0.3754489063010121,つくばエクスプレス/浅草駅 歩7分,7.0,東京メトロ日比谷線/入谷駅 歩12分,12.0,東京メトロ銀座線/田原町駅 歩19分,19.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,浅草,0,,
都営浅草線 浅草駅 5階建 築5年,東京都台東区雷門１,"築5年
5階建","築5年
5階建",5,13.1,1LDK,35.25,0.3716312056737588,都営浅草線/浅草駅 歩5分,5.0,東京メトロ銀座線/田原町駅 歩4分,4.0,つくばエクスプレス/浅草駅 歩5分,5.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,浅草,0,,
ネオ浅草,東京都台東区雷門１,"築5年
5階建","築5年
5階建",5,13.1,1LDK,35.25,0.3716312056737588,東京メトロ銀座線/田原町駅 歩4分,4.0,都営浅草線/浅草駅 歩5分,5.0,つくばエクスプレス/浅草駅 歩5分,5.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,田原町,0,,
ＳＹＦＯＲＭＥ亀戸,東京都江東区亀戸６,"築2年
14階建","築2年
14階建",2,10.0,2K,25.4,0.3937007874015748,東武亀戸線/亀戸駅 歩7分,7.0,都営新宿線/大島駅 歩14分,14.0,都営新宿線/西大島駅 歩18分,18.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,亀戸,0,,
京成本線 お花茶屋駅 3階建 築3年,東京都葛飾区白鳥２,"築3年
3階建","築3年
3階建",3,6.8,ワンルーム,20.28,0.3353057199211045,京成本線/お花茶屋駅 歩3分,3.0,京成押上線/京成立石駅 歩19分,19.0,京成押上線/青砥駅 歩20分,20.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,お花茶屋,0,,
プロスペリティ秋葉原,東京都台東区台東１,"築3年
4階建","築3年
4階建",3,8.5,ワンルーム,18.36,0.4629629629629629,ＪＲ総武線/浅草橋駅 歩9分,9.0,ＪＲ総武線/秋葉原駅 歩10分,10.0,東京メトロ日比谷線/秋葉原駅 歩9分,9.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,浅草橋,0,,
ＪＲ常磐線 綾瀬駅 3階建 築1年,東京都足立区綾瀬１,"築1年
3階建","築1年
3階建",1,6.2,1K,20.94,0.2960840496657115,ＪＲ常磐線/綾瀬駅 歩4分,4.0,東武伊勢崎線/小菅駅 歩13分,13.0,東武伊勢崎線/五反野駅 歩20分,20.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,綾瀬,0,,
プレール・ドゥーク浅草IV,東京都台東区浅草３,"築5年
9階建","築5年
9階建",5,15.3,1LDK,40.36,0.3790882061446977,東武伊勢崎線/浅草駅 歩8分,8.0,東京メトロ銀座線/浅草駅 歩8分,8.0,都営浅草線/浅草駅 歩8分,8.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,浅草,0,,
シャトー・ベル・シュウェット,東京都足立区千住緑町３,"築12年
3階建","築12年
3階建",12,11.5,1LDK,40.09,0.286854577201297,京成本線/千住大橋駅 歩10分,10.0,ＪＲ常磐線/北千住駅 歩17分,17.0,東武伊勢崎線/牛田駅 歩28分,28.0,,0,,0,,0,,0,,0,10.0,0,1,1,0,千住大橋,1,,
メインステージ浅草国際通り,東京都台東区千束３,"築3年
13階建","築3年
13階建",3,14.15,1LDK,40.95,0.3455433455433455,東京メトロ日比谷線/入谷駅 歩9分,9.0,東京メトロ日比谷線/三ノ輪駅 歩8分,8.0,つくばエクスプレス/浅草駅 歩15分,15.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,入谷,0,,
アヴァンス西小岩,東京都江戸川区西小岩１,"新築
2階建",築１年,1,11.2,1LDK,32.66,0.3429271279853031,ＪＲ総武線/小岩駅 歩5分,5.0,,0.0,,0.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,小岩,0,,
ディアレイシャス東京イーストパレス,東京都墨田区八広２,"築3年
7階建","築3年
7階建",3,8.25,ワンルーム,27.28,0.3024193548387097,京成押上線/京成曳舟駅 歩12分,12.0,東武亀戸線/小村井駅 歩7分,7.0,東武亀戸線/東あずま駅 歩12分,12.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,京成曳舟,0,,
都営大江戸線 森下駅 7階建 築3年,東京都墨田区立川１,"築3年
7階建","築3年
7階建",3,12.3,1DK,28.91,0.4254583189207886,都営大江戸線/森下駅 歩7分,7.0,ＪＲ総武線/両国駅 歩13分,13.0,都営新宿線/菊川駅 歩11分,11.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,森下,0,,
ＣＡＳＡ　ＰＩＡＺＺＡ　葛飾立石,東京都葛飾区立石４,"築3年
4階建","築3年
4階建",3,7.3,ワンルーム,19.7,0.3705583756345177,京成押上線/京成立石駅 歩2分,2.0,成田スカイアクセス/青砥駅 歩13分,13.0,京成本線/お花茶屋駅 歩18分,18.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,京成立石,0,,
ＪＲ総武線 新小岩駅 5階建 築25年,東京都葛飾区新小岩２,"築25年
5階建","築25年
5階建",25,9.2,1LDK,34.24,0.2686915887850467,ＪＲ総武線/新小岩駅 歩1分,1.0,ＪＲ総武線/平井駅 歩31分,31.0,京成押上線/京成立石駅 歩37分,37.0,,0,,0,,0,,0,,0,1.0,1,1,0,0,新小岩,1,,
ARTESSIMO GLANZ,東京都墨田区向島１,"築10年
8階建","築10年
8階建",10,13.6,1LDK,40.32,0.3373015873015872,都営浅草線/本所吾妻橋駅 歩6分,6.0,東武伊勢崎線/とうきょうスカイツリー駅 歩4分,4.0,東京メトロ半蔵門線/押上駅 歩9分,9.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,本所吾妻橋,0,,
都営浅草線 本所吾妻橋駅 8階建 築10年,東京都墨田区向島１,"築10年
8階建","築10年
8階建",10,13.6,1LDK,40.32,0.3373015873015872,都営浅草線/本所吾妻橋駅 歩6分,6.0,東武伊勢崎線/とうきょうスカイツリー駅 歩4分,4.0,東京メトロ半蔵門線/押上駅 歩9分,9.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,本所吾妻橋,0,,
メゾングレイス1,東京都足立区千住東２,"築12年
2階建","築12年
2階建",12,13.2,1LDK,48.3,0.2732919254658385,東京メトロ千代田線/北千住駅 歩8分,8.0,東武伊勢崎線/牛田駅 歩6分,6.0,京成本線/京成関屋駅 歩6分,6.0,,0,,0,,0,,0,,0,6.0,0,1,0,0,北千住,0,,
ＪＲ常磐線 金町駅 2階建 築5年,東京都葛飾区東金町２,"築5年
2階建","築5年
2階建",5,5.65,ワンルーム,15.93,0.354676710608914,ＪＲ常磐線/金町駅 歩9分,9.0,京成本線/京成高砂駅 歩10分,10.0,北総線/新柴又駅 歩40分,40.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,金町,0,,
ＪＲ総武線 新小岩駅 5階建 築16年,東京都葛飾区新小岩２,"築16年
5階建","築16年
5階建",16,5.7,1K,20.52,0.2777777777777778,ＪＲ総武線/新小岩駅 歩6分,6.0,,0.0,,0.0,,0,,0,,0,,0,,0,6.0,0,1,0,0,新小岩,0,,
ハイツスズヒコ,東京都江戸川区西小岩１,"築34年
2階建","築34年
2階建",34,7.5,2K,33.0,0.2272727272727272,ＪＲ総武線/小岩駅 歩7分,7.0,京成本線/京成小岩駅 歩20分,20.0,京成本線/江戸川駅 歩26分,26.0,,0,,0,,0,,0,,0,7.0,1,1,0,0,小岩,1,,
セジョリ押上イースト,東京都墨田区文花１,"築5年
7階建","築5年
7階建",5,7.4,1K,25.95,0.2851637764932563,東京メトロ半蔵門線/押上駅 歩11分,11.0,東武亀戸線/小村井駅 歩10分,10.0,京成押上線/京成曳舟駅 歩18分,18.0,,0,,0,,0,,0,,0,10.0,0,1,1,0,押上,1,,
IVY HOUSE HORIKIRI S棟,東京都葛飾区堀切４,"築8年
2階建","築8年
2階建",8,6.0,ワンルーム,18.5,0.3243243243243243,京成本線/堀切菖蒲園駅 歩4分,4.0,東武伊勢崎線/堀切駅 歩12分,12.0,,0.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,堀切菖蒲園,0,,
東武伊勢崎線 とうきょうスカイツリー駅 12階建 築5年,東京都墨田区向島３,"築5年
12階建","築5年
12階建",5,14.6,1LDK,41.23,0.354111084162018,東武伊勢崎線/とうきょうスカイツリー駅 歩10分,10.0,京成押上線/押上駅 歩8分,8.0,東武伊勢崎線/曳舟駅 歩12分,12.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,とうきょうスカイツリー,0,,
エトワール亀有,東京都葛飾区西亀有３,"築35年
3階建","築35年
3階建",35,6.5,2K,32.3,0.2012383900928792,ＪＲ常磐線/亀有駅 歩10分,10.0,ＪＲ常磐線/綾瀬駅 歩20分,20.0,東京メトロ千代田線/綾瀬駅 歩20分,20.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,亀有,0,,
クリオラベルヴィ三ノ輪,東京都台東区竜泉２,"築6年
13階建","築6年
13階建",6,14.0,1LDK,35.13,0.3985197836606888,東京メトロ日比谷線/三ノ輪駅 歩5分,5.0,東京メトロ日比谷線/入谷駅 歩13分,13.0,ＪＲ常磐線/南千住駅 歩19分,19.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,三ノ輪,0,,
東京メトロ半蔵門線 住吉駅 10階建 築3年,東京都江東区大島１,"築3年
10階建","築3年
10階建",3,10.9,1DK,25.74,0.4234654234654235,東京メトロ半蔵門線/住吉駅 歩8分,8.0,都営新宿線/住吉駅 歩8分,8.0,都営新宿線/西大島駅 歩7分,7.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,住吉,0,,
メゾンヴェリテ,東京都葛飾区立石２,"築20年
3階建","築20年
3階建",20,12.0,1LDK,51.75,0.2318840579710145,京成押上線/京成立石駅 歩11分,11.0,京成押上線/四ツ木駅 歩15分,15.0,京成本線/お花茶屋駅 歩17分,17.0,,0,,0,,0,,0,,0,11.0,0,1,1,0,京成立石,1,,
東京メトロ半蔵門線 押上駅 7階建 築3年,東京都墨田区押上１,"築3年
7階建","築3年
7階建",3,14.2,1LDK,40.02,0.3548225887056471,東京メトロ半蔵門線/押上駅 歩5分,5.0,東武伊勢崎線/曳舟駅 歩15分,15.0,都営浅草線/本所吾妻橋駅 歩15分,15.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,押上,0,,
日暮里・舎人ライナー 扇大橋駅 2階建 築2年,東京都足立区興野２,"築2年
2階建","築2年
2階建",2,8.8,1K,43.79,0.2009591230874629,日暮里・舎人ライナー/扇大橋駅 歩13分,13.0,東武伊勢崎線/西新井駅 歩22分,22.0,東武大師線/大師前駅 歩19分,19.0,,0,,0,,0,,0,,0,13.0,0,1,1,0,扇大橋,1,,
京成押上線 京成立石駅 3階建 築53年,東京都葛飾区東立石３,"築53年
3階建","築53年
3階建",53,6.0,2K,27.0,0.2222222222222222,京成押上線/京成立石駅 歩7分,7.0,京成押上線/四ツ木駅 歩14分,14.0,京成本線/青砥駅 歩20分,20.0,,0,,0,,0,,0,,0,7.0,1,1,0,0,京成立石,1,,
ラヴィーナ北上野,東京都台東区北上野２,"築16年
13階建","築16年
13階建",16,12.4,1LDK,39.33,0.3152809560132215,東京メトロ日比谷線/入谷駅 歩4分,4.0,ＪＲ山手線/鶯谷駅 歩10分,10.0,,0.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,入谷,0,,
東京メトロ日比谷線 南千住駅 8階建 新築,東京都台東区清川２,"新築
8階建",築１年,1,13.4,1LDK,40.5,0.3308641975308642,東京メトロ日比谷線/南千住駅 歩10分,10.0,東京メトロ日比谷線/三ノ輪駅 歩16分,16.0,都電荒川線/三ノ輪橋駅 歩17分,17.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,南千住,0,,
メゾン酒井,東京都江戸川区南小岩２,"築37年
3階建","築37年
3階建",37,5.7,1DK,28.92,0.1970954356846473,都営新宿線/篠崎駅 歩26分,26.0,,0.0,,0.0,,0,,0,,0,,0,,0,26.0,1,1,1,1,篠崎,0,,
京成本線 堀切菖蒲園駅 5階建 築5年,東京都葛飾区堀切４,"築5年
5階建","築5年
5階建",5,7.1,ワンルーム,25.1,0.2828685258964143,京成本線/堀切菖蒲園駅 歩2分,2.0,東武伊勢崎線/堀切駅 歩14分,14.0,京成本線/お花茶屋駅 歩18分,18.0,,0,,0,,0,,0,,0,2.0,0,1,0,0,堀切菖蒲園,0,,
ラフィスタ錦糸町,東京都墨田区緑４,"築11年
13階建","築11年
13階建",11,7.9,ワンルーム,26.86,0.2941176470588235,都営新宿線/菊川駅 歩9分,9.0,ＪＲ総武線快速/錦糸町駅 歩10分,10.0,東京メトロ半蔵門線/錦糸町駅 歩10分,10.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,菊川,0,,
ＪＲ総武線 平井駅 3階建 新築,東京都江戸川区平井２,"新築
3階建",築１年,1,13.0,1LDK,41.37,0.3142373700749335,ＪＲ総武線/平井駅 歩9分,9.0,東武亀戸線/亀戸水神駅 歩18分,18.0,,0.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,平井,0,,
リヴシティ墨田,東京都墨田区墨田３,"新築
7階建",築１年,1,8.55,1K,26.46,0.3231292517006803,東武伊勢崎線/東向島駅 歩9分,9.0,京成押上線/八広駅 歩15分,15.0,東武伊勢崎線/鐘ヶ淵駅 歩7分,7.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,東向島,0,,
アークマーク水天宮前2,東京都江東区佐賀２,"築3年
7階建","築3年
7階建",3,10.8,1DK,25.92,0.4166666666666667,東京メトロ半蔵門線/水天宮前駅 歩7分,7.0,東京メトロ東西線/門前仲町駅 歩10分,10.0,都営大江戸線/清澄白河駅 歩13分,13.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,水天宮前,0,,
クレール・ド・リュンヌ,東京都江戸川区東葛西５,"築26年
2階建","築26年
2階建",26,9.0,1LDK,40.0,0.225,東京メトロ東西線/葛西駅 歩5分,5.0,東京メトロ東西線/浦安駅 歩19分,19.0,東京メトロ東西線/西葛西駅 歩24分,24.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,葛西,1,,
ＪＲ総武線 小岩駅 3階建 築17年,東京都江戸川区南小岩６,"築17年
3階建","築17年
3階建",17,7.5,1K,22.52,0.3330373001776199,ＪＲ総武線/小岩駅 歩10分,10.0,京成本線/京成小岩駅 歩28分,28.0,京成押上線/京成立石駅 バス10分 (バス停)西小岩二丁目 歩10分,10.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,小岩,0,,
東京メトロ千代田線 北千住駅 3階建 築11年,東京都足立区千住曙町,"築11年
3階建","築11年
3階建",11,11.0,1LDK,37.96,0.2897787144362487,東京メトロ千代田線/北千住駅 歩15分,15.0,東京メトロ日比谷線/北千住駅 歩15分,15.0,ＪＲ常磐線/北千住駅 歩15分,15.0,,0,,0,,0,,0,,0,15.0,0,1,1,0,北千住,1,,
東京メトロ東西線 門前仲町駅 12階建 築3年,東京都江東区深川１,"築3年
12階建","築3年
12階建",3,11.2,2K,26.35,0.4250474383301707,東京メトロ東西線/門前仲町駅 歩6分,6.0,東京メトロ半蔵門線/清澄白河駅 歩9分,9.0,,0.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,門前仲町,0,,
東京メトロ日比谷線 三ノ輪駅 5階建 築4年,東京都台東区竜泉２,"築4年
5階建","築4年
5階建",4,7.2,ワンルーム,19.2,0.375,東京メトロ日比谷線/三ノ輪駅 歩7分,7.0,東京メトロ日比谷線/入谷駅 歩9分,9.0,ＪＲ山手線/鶯谷駅 歩24分,24.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,三ノ輪,0,,
仮称ビューノ松島,東京都江戸川区松島４,"新築
3階建",築１年,1,11.2,1LDK,37.2,0.3010752688172042,ＪＲ総武線/新小岩駅 歩10分,10.0,東武亀戸線/東あずま駅 歩43分,43.0,都営新宿線/東大島駅 歩48分,48.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,新小岩,0,,
レガーロ新小岩,東京都葛飾区東新小岩７,"築9年
2階建","築9年
2階建",9,7.1,ワンルーム,25.03,0.2836596084698362,ＪＲ総武線/新小岩駅 歩12分,12.0,京成押上線/京成立石駅 歩24分,24.0,京成押上線/四ツ木駅 歩25分,25.0,,0,,0,,0,,0,,0,12.0,0,1,1,0,新小岩,1,,
オキ　テラス,東京都足立区六町３,"新築
3階建",築１年,1,9.3,1SK,35.23,0.2639795628725518,つくばエクスプレス/六町駅 歩5分,5.0,,0.0,,0.0,,0,,0,,0,,0,,0,5.0,0,1,0,0,六町,0,,
都営新宿線 篠崎駅 3階建 築5年,東京都江戸川区篠崎町５,"築5年
3階建","築5年
3階建",5,9.5,1LDK,33.18,0.2863170584689572,都営新宿線/篠崎駅 歩12分,12.0,都営新宿線/瑞江駅 歩19分,19.0,都営新宿線/一之江駅 歩39分,39.0,,0,,0,,0,,0,,0,12.0,0,1,1,0,篠崎,1,,
デュオメゾン押上,東京都墨田区押上３,"築8年
3階建","築8年
3階建",8,14.7,1LDK,51.74,0.2841128720525705,東京メトロ半蔵門線/押上駅 歩7分,7.0,東武伊勢崎線/とうきょうスカイツリー駅 歩7分,7.0,都営浅草線/押上駅 歩7分,7.0,,0,,0,,0,,0,,0,7.0,0,1,0,0,押上,0,,
stier virgem,東京都足立区興野２,"築2年
2階建","築2年
2階建",2,8.8,1LDK,43.79,0.2009591230874629,日暮里・舎人ライナー/高野駅 歩13分,13.0,東武大師線/大師前駅 歩20分,20.0,東武伊勢崎線/西新井駅 歩22分,22.0,,0,,0,,0,,0,,0,13.0,0,1,1,0,高野,1,,
MYRIA RESIDENCE RyogokuII,東京都墨田区両国３,"築1年
11階建","築1年
11階建",1,14.5,1LDK,30.01,0.4831722759080306,ＪＲ総武線/両国駅 歩7分,7.0,都営大江戸線/両国駅 歩10分,10.0,都営新宿線/森下駅 歩12分,12.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,両国,0,,
都営大江戸線 蔵前駅 11階建 築7年,東京都台東区蔵前４,"築7年
11階建","築7年
11階建",7,14.9,1LDK,40.05,0.3720349563046192,都営大江戸線/蔵前駅 歩6分,6.0,東京メトロ銀座線/田原町駅 歩7分,7.0,東京メトロ銀座線/稲荷町駅 歩12分,12.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,蔵前,0,,
T`s Calm,東京都葛飾区立石４,"築4年
6階建","築4年
6階建",4,9.0,ワンルーム,28.17,0.3194888178913738,京成押上線/京成立石駅 歩1分,1.0,京成本線/青砥駅 歩14分,14.0,京成押上線/四ツ木駅 歩20分,20.0,,0,,0,,0,,0,,0,1.0,0,0,0,0,京成立石,0,,
京成押上線 京成立石駅 6階建 築4年,東京都葛飾区立石４,"築4年
6階建","築4年
6階建",4,9.0,ワンルーム,28.17,0.3194888178913738,京成押上線/京成立石駅 歩1分,1.0,成田スカイアクセス/青砥駅 歩14分,14.0,京成本線/青砥駅 歩14分,14.0,,0,,0,,0,,0,,0,1.0,0,0,0,0,京成立石,0,,
瑞穂フラッツ,東京都台東区三筋１,"築10年
10階建","築10年
10階建",10,15.0,1LDK,43.56,0.3443526170798898,都営浅草線/蔵前駅 歩7分,7.0,都営大江戸線/新御徒町駅 歩7分,7.0,東京メトロ銀座線/田原町駅 歩14分,14.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,蔵前,0,,
ツインパークコンフォートＮ,東京都台東区台東４,"築13年
9階建","築13年
9階建",13,14.0,1K,40.13,0.3488661848990779,東京メトロ日比谷線/仲御徒町駅 歩3分,3.0,都営大江戸線/新御徒町駅 歩5分,5.0,ＪＲ山手線/御徒町駅 歩7分,7.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,仲御徒町,0,,
ウェザーコックコンノ,東京都荒川区西日暮里２,"築36年
6階建","築36年
6階建",36,6.0,ワンルーム,18.0,0.3333333333333333,ＪＲ山手線/日暮里駅 歩6分,6.0,ＪＲ山手線/西日暮里駅 歩4分,4.0,ＪＲ常磐線/三河島駅 歩10分,10.0,,0,,0,,0,,0,,0,4.0,1,0,0,0,日暮里,0,,
ＪＲ総武線 新小岩駅 3階建 新築,東京都江戸川区松島４,"新築
3階建",築１年,1,11.2,1LDK,37.2,0.3010752688172042,ＪＲ総武線/新小岩駅 歩10分,10.0,ＪＲ総武線/平井駅 歩30分,30.0,,0.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,新小岩,0,https://suumo.jp/chintai/jnc_000085154826/?bc=100349787401,ホームメイトFC小岩駅前店(株)コーユー
サークルハウス京成小岩105号室,東京都葛飾区鎌倉１,"築7年
2階建","築7年
2階建",7,4.2,ワンルーム,9.5,0.4421052631578948,京成本線/京成小岩駅 歩6分,6.0,北総線/新柴又駅 歩12分,12.0,ＪＲ総武線/小岩駅 歩14分,14.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,京成小岩,0,,
ＪＲ総武線 小岩駅 2階建 築7年,東京都江戸川区南小岩８,"築7年
2階建","築7年
2階建",7,8.3,ワンルーム,28.16,0.2947443181818182,ＪＲ総武線/小岩駅 歩6分,6.0,京成本線/江戸川駅 歩18分,18.0,,0.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,小岩,0,,
リビオセゾン亀有,東京都葛飾区西亀有３,"築2年
7階建","築2年
7階建",2,6.05,ワンルーム,18.17,0.3329664281783158,ＪＲ常磐線/亀有駅 歩11分,11.0,東京メトロ千代田線/綾瀬駅 歩20分,20.0,東京メトロ千代田線/北綾瀬駅 歩27分,27.0,,0,,0,,0,,0,,0,11.0,0,0,1,0,亀有,0,,
フェリシテ柴又,東京都葛飾区柴又４,"築6年
3階建","築6年
3階建",6,5.2,ワンルーム,16.34,0.3182374541003672,京成本線/京成高砂駅 歩13分,13.0,北総線/新柴又駅 歩7分,7.0,,0.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,京成高砂,0,,
Ｃｌａｓｓｅ,東京都足立区千住曙町,"築11年
3階建","築11年
3階建",11,11.0,1LDK,37.96,0.2897787144362487,東京メトロ千代田線/北千住駅 歩15分,15.0,東京メトロ日比谷線/北千住駅 歩15分,15.0,ＪＲ常磐線/北千住駅 歩15分,15.0,,0,,0,,0,,0,,0,15.0,0,1,1,0,北千住,1,,
レフィールオーブ両国,東京都墨田区横網２,"新築
7階建",築１年,1,15.3,1SLDK,35.54,0.4305008441193022,都営大江戸線/両国駅 歩6分,6.0,ＪＲ総武線/両国駅 歩10分,10.0,都営浅草線/蔵前駅 歩10分,10.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,両国,0,,
グランカーサ錦糸町　旧スプランディッド錦糸町1,東京都墨田区緑４,"築3年
9階建","築3年
9階建",3,9.4,ワンルーム,25.34,0.3709550118389897,都営新宿線/菊川駅 歩8分,8.0,ＪＲ総武線快速/錦糸町駅 歩13分,13.0,都営新宿線/住吉駅 歩14分,14.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,菊川,0,,
イル青戸,東京都葛飾区青戸６,"築9年
3階建","築9年
3階建",9,5.4,ワンルーム,15.38,0.3511053315994799,京成押上線/青砥駅 歩4分,4.0,京成本線/京成高砂駅 歩12分,12.0,京成金町線/柴又駅 歩25分,25.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,青砥,0,,
チャルテ入谷,東京都台東区竜泉２,"築4年
5階建","築4年
5階建",4,7.2,ワンルーム,19.2,0.375,東京メトロ日比谷線/三ノ輪駅 歩8分,8.0,東京メトロ日比谷線/入谷駅 歩11分,11.0,都電荒川線/三ノ輪橋駅 歩13分,13.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,三ノ輪,0,,
ａ　Ｗｏｏｄ　Ｈｏｕｓｅ,東京都葛飾区西亀有２,"築15年
2階建","築15年
2階建",15,6.6,ワンルーム,22.69,0.2908770383428823,東京メトロ千代田線/綾瀬駅 歩11分,11.0,京成本線/堀切菖蒲園駅 歩18分,18.0,ＪＲ常磐線/亀有駅 歩24分,24.0,,0,,0,,0,,0,,0,11.0,0,1,1,0,綾瀬,1,,
ＪＲ総武線 新小岩駅 3階建 築21年,東京都葛飾区新小岩４,"築21年
3階建","築21年
3階建",21,9.1,ワンルーム,39.41,0.2309058614564831,ＪＲ総武線/新小岩駅 歩10分,10.0,ＪＲ総武線/小岩駅 歩29分,29.0,京成押上線/京成立石駅 歩38分,38.0,,0,,0,,0,,0,,0,10.0,0,1,1,0,新小岩,1,,
プランドール両国,東京都墨田区両国１,"築14年
4階建","築14年
4階建",14,11.2,2K,30.29,0.3697589963684384,ＪＲ総武線/両国駅 歩1分,1.0,都営大江戸線/両国駅 歩8分,8.0,都営浅草線/蔵前駅 歩15分,15.0,,0,,0,,0,,0,,0,1.0,0,0,0,0,両国,0,,
HJ PLACE UENO,東京都台東区上野桜木１,"築2年
地下1地上4階建","築2年
地下1地上4階建",2,7.6,ワンルーム,11.39,0.6672519754170324,ＪＲ山手線/鶯谷駅 歩9分,9.0,東京メトロ千代田線/根津駅 歩10分,10.0,ＪＲ山手線/上野駅 歩16分,16.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,鶯谷,0,,
都営新宿線 篠崎駅 3階建 築3年,東京都江戸川区上篠崎２,"築3年
3階建","築3年
3階建",3,11.5,1LDK,35.89,0.320423516299805,都営新宿線/篠崎駅 歩10分,10.0,ＪＲ総武線/小岩駅 バス14分 (バス停)本郷 歩3分,14.0,都営新宿線/瑞江駅 歩30分,30.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,篠崎,0,,
